epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3228.67,1.24794,3.56801,0.00601,0.32909,0.29484,0.17873,0.13394,1.04346,2.85347,0.00726,0.00999759,0.00333253,0.00999759,0.00333253,0.00999759,0.00333253,0.00999759,0.00333253
2,6413.05,1.33337,2.7592,0.00667,0.3564,0.29732,0.18801,0.13966,1.11573,2.8311,0.00796,0.0199781,0.00665935,0.0199781,0.00665935,0.0199781,0.00665935,0.0199781,0.00665935
3,9602.22,1.51808,3.1103,0.00821,0.3699,0.27596,0.16812,0.12277,1.18288,3.02103,0.00872,0.0298805,0.00996017,0.0298805,0.00996017,0.0298805,0.00996017,0.0298805,0.00996017
4,12790.8,1.59676,3.25557,0.00885,0.38529,0.27161,0.17327,0.12726,1.16616,2.97597,0.00852,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,15964.3,1.56722,3.17972,0.00862,0.41283,0.2714,0.1753,0.12956,1.15278,2.9412,0.00837,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,19142.8,1.5551,3.14196,0.00848,0.42595,0.26925,0.17474,0.12949,1.14944,2.93445,0.00833,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,22313.1,1.54918,3.11822,0.00841,0.41454,0.26376,0.17377,0.12879,1.14625,2.93994,0.00831,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,25483.9,1.5404,3.09415,0.00837,0.41073,0.2581,0.17368,0.12909,1.1441,2.94121,0.0083,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,28653.8,1.53981,3.0874,0.00834,0.42229,0.25783,0.17605,0.13054,1.14154,2.93539,0.00828,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,31822.1,1.54418,3.07964,0.00837,0.42285,0.26012,0.17693,0.13148,1.13842,2.92714,0.00824,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
